	Heere bigynneth the Knyghtes Tale.	Here begins the Knight's Tale.
	Iamque domos patrias, Sithice post	And now (Theseus drawing nigh his) native land in
	aspera gentis prelia,laurigero, etc.	laurelled car after battling with the Scithian folk, etc.
2993	In certeyn boundes, that they may nat flee.		In definite bounds, from which they may not flee.
2994	That same Prince and that Moevere," quod he,		That same Prince and that Mover," said he,
2995	"Hath stablissed in this wrecched world adoun		"Has established in this wretched world below
2996	Certeyne dayes and duracioun		Specific (numbers of) days and (term of) duration
2997	To al that is engendred in this place,		To all that is engendered in this place,
2998	Over the whiche day they may nat pace,		Beyond the which day they can not pass,
2999	Al mowe they yet tho dayes wel abregge.		Although they may yet well shorten those days.
3000	Ther nedeth noght noon auctoritee t'allegge,		There is no need to cite any written authority,
3001	For it is preeved by experience,		For it is proven by experience,
3002	But that me list declaren my sentence.		Unless I wish to make my meaning more clear.
3003	Thanne may men by this ordre wel discerne		Then one can by this order well discern
3004	That thilke Moevere stable is and eterne.		That that same Mover is stable and eternal.
3005	Wel may men knowe, but it be a fool,		Well may one know, unless it be a fool,
3006	That every part dirryveth from his hool,		That every part derives from its whole,
3007	For nature hath nat taken his bigynnyng		For nature has not taken its beginning
3008	Of no partie or cantel of a thyng,		Of no part or portion of a thing,
3009	But of a thyng that parfit is and stable,		But of a thing that is complete and stable,
3010	Descendynge so til it be corrumpable.		Descending (from that) until it becomes corruptible.
3011	And therfore, of his wise purveiaunce,		And therefore, by his wise foresight,
3012	He hath so wel biset his ordinaunce		He has so well established his plan
3013	That speces of thynges and progressiouns		That types of being and natural processes
3014	Shullen enduren by successiouns,		Shall endure (for a set time) one after another,
3015	And nat eterne, withouten any lye.		And not eternally, without any lie.
3016	This maystow understonde and seen at ye.		This thou canst understand and plainly see.
3017	"Loo the ook, that hath so long a norisshynge		"Lo the oak, that is so slow to mature,
3018	From tyme that it first bigynneth to sprynge,		From the time that it first begins to spring,
3019	And hath so long a lif, as we may see,		And has so long a life, as we may see,
3020	Yet at the laste wasted is the tree.		Yet at the last the tree is wasted away.
3021	"Considereth eek how that the harde stoon		"Consider also how the hard stone
3022	Under oure feet, on which we trede and goon,		Under our feet, on which we tread and go,
3023	Yet wasteth it as it lyth by the weye.		Eventually it is worn away as it lies by the way.
3024	The brode ryver somtyme wexeth dreye;		The broad river sometimes grows dry;
3025	The grete tounes se we wane and wende.		We see the great cities grow weak and pass away.
3026	Thanne may ye se that al this thyng hath ende.		Then you can see that all things have an end.
3027	"Of man and womman seen we wel also		"Of man and woman also we see well
3028	That nedes, in oon of thise termes two --		That by necessity, in one of these two periods of time --
3029	This is to seyn, in youthe or elles age --		This is to say, in youth or else in age --
3030	He moot be deed, the kyng as shal a page;		He must be dead, the king as must a servant boy;
3031	Som in his bed, som in the depe see,		One in his bed, one in the deep sea,
3032	Som in the large feeld, as men may see;		One in the large field, as people can see;
3033	Ther helpeth noght; al goth that ilke weye.		Nothing helps there; all goes that same way.
3034	Thanne may I seyn that al this thyng moot deye.		Then may I say that all things must die.
3035	"What maketh this but Juppiter, the kyng,		"What causes this but Jupiter, the king,
3036	That is prince and cause of alle thyng,		Who is prince and cause of all things,
3037	Convertynge al unto his propre welle		Causing all to return to its own origin
3038	From which it is dirryved, sooth to telle?		From which it is derived, to tell the truth?
3039	And heer-agayns no creature on lyve,		And against this no living creature,
3040	Of no degree, availleth for to stryve.		Of any rank, is helped by striving.
3041	"Thanne is it wysdom, as it thynketh me,		"Then is it wisdom, as it seems to me,
3042	To maken vertu of necessitee,		To make virtue of necessity,
3043	And take it weel that we may nat eschue,		And take it well what we may not escape,
3044	And namely that to us alle is due.		And namely that which is due to us all.
3045	And whoso gruccheth ought, he dooth folye,		And whoever complains in any way, he does folly,
3046	And rebel is to hym that al may gye.		And is rebel to Him that can rule all.
3047	And certeinly a man hath moost honour		And certainly a man has most honor
3048	To dyen in his excellence and flour,		To die in his (time of) excellence and flower,
3049	Whan he is siker of his goode name;		When he is sure of his good name;
3050	Thanne hath he doon his freend, ne hym, no shame.		Then he has not done his friend, nor himself, any shame.
3051	And gladder oghte his freend been of his deeth,		And his friend ought to be more pleased with his death,
3052	Whan with honour up yolden is his breeth,		When his breath is yielded up with honor,
3053	Than whan his name apalled is for age,		Than when his name is faded because of age,
3054	For al forgeten is his vassellage.		For all forgotten is his knightly prowess.
3055	Thanne is it best, as for a worthy fame,		Then is it best, for a worthy fame,
3056	To dyen whan that he is best of name.		To die when he has the most fame.
3057	"The contrarie of al this is wilfulnesse.		"The contrary of all this is willfulness.
3058	Why grucchen we, why have we hevynesse,		Why do we complain, why do we have sadness,
3059	That goode Arcite, of chivalrie flour,		That good Arcite, flower of chivalry,
3060	Departed is with duetee and honour		Is departed with all due honor
3061	Out of this foule prisoun of this lyf?		Out of this foul prison of this life?
3062	Why grucchen heere his cosyn and his wyf		Why do his cousin and his wife complain here
3063	Of his welfare, that loved hem so weel?		Of the welfare of him, who loved them so well?
3064	Kan he hem thank? Nay, God woot, never a deel,		Can he show them his gratitude? Nay, God knows, not a bit;
3065	That both his soule and eek hemself offende,		They offend both his soul and themselves as well,
3066	And yet they mowe hir lustes nat amende.		And as yet they may not change their desires.
3067	"What may I conclude of this longe serye,		"What can I conclude of this long argument,
3068	But after wo I rede us to be merye		But after woe I advise us to be merry
3069	And thanken Juppiter of al his grace?		And thank Jupiter for all his grace?
3070	And er that we departen from this place		And before we depart from this place
3071	I rede that we make of sorwes two		I advise that we make of two sorrows
3072	O parfit joye, lastynge everemo.		One perfect joy, lasting evermore.
3073	And looketh now, wher moost sorwe is herinne,		And look now, where most sorrow is herein,
3074	Ther wol we first amenden and bigynne.		There will we first amend and begin.
3075	"Suster," quod he, "this is my fulle assent,		"Sister," said he, "this is my full intention,
3076	With al th'avys heere of my parlement,		With all the advice of my parliament here,
3077	That gentil Palamon, youre owene knyght,		That gentle Palamon, your own knight,
3078	That serveth yow with wille, herte, and myght,		Who serves you with will, heart, and might,
3079	And ever hath doon syn ye first hym knewe,		And ever has done so since you first knew him,
3080	That ye shul of youre grace upon hym rewe,		That you shall of your grace have pity upon him,
3081	And taken hym for housbonde and for lord.		And take him for husband and for lord.
3082	Lene me youre hond, for this is oure accord.		Lend me your hand, for this is our decision.
3083	Lat se now of youre wommanly pitee.		Let your womanly pity now be seen.
3084	He is a kynges brother sone, pardee;		He is a king's brother's son, indeed;
3085	And though he were a povre bacheler,		And even if he were a poor young knight,
3086	Syn he hath served yow so many a yeer,		Since he has served you so many a year,
3087	And had for yow so greet adversitee,		And has had for you such great adversity,
3088	It moste been considered, leeveth me,		It must be taken in account, believe me,
3089	For gentil mercy oghte to passen right."		For gentle mercy ought to prevail over justice."
3090	Thanne seyde he thus to Palamon the knight:		Then said he thus to Palamon the knight:
3091	"I trowe ther nedeth litel sermonyng		"I suppose little preaching is needed here
3092	To make yow assente to this thyng.		To make you assent to this thing.
3093	Com neer, and taak youre lady by the hond."		Come near, and take your lady by the hand."
3094	Bitwixen hem was maad anon the bond		Between them was made right away the bond
3095	That highte matrimoigne or mariage,		That is called matrimony or marriage,
3096	By al the conseil and the baronage.		By all the council and the baronage.
3097	And thus with alle blisse and melodye		And thus with all bliss and festivity
3098	Hath Palamon ywedded Emelye.		Palamon has wedded Emelye.
3099	And God, that al this wyde world hath wroght,		And God, who has made all this wide world,
3100	Sende hym his love that hath it deere aboght;		Send him his love who has dearly paid for it;
3101	For now is Palamon in alle wele,		For now is Palamon in complete happiness,
3102	Lyvynge in blisse, in richesse, and in heele,		Living in bliss, in riches, and in health,
3103	And Emelye hym loveth so tendrely,		And Emelye loves him so tenderly,
3104	And he hire serveth so gentilly,		And he serves her so gently,
3105	That nevere was ther no word hem bitwene		That never was there any word between them
3106	Of jalousie or any oother teene.		Of jealousy or any other vexation.
3107	Thus endeth Palamon and Emelye;		Thus ends Palamon and Emelye;
3108	And God save al this faire compaignye! Amen.		And God save all this fair company! Amen.
